value
CN: Floor Space under Construction: ytd: Commodity Bldg (CB)
CN: Floor Space Completed: ytd: Commodity Bldg (CB)
CN: Floor Space Sold: ytd
CN: Govt Revenue: ytd
CN: Govt Expenditure: ytd
CN: Govt Revenue: Tax: ytd
CN: Government Revenue: ytd: Fund
CN: Local Government Debt Issuance: General
CN: Local Government Debt Issuance: Special
CN: Local Government Debt Issuance: New
CN: Local Government Debt Issuance: Replacement or Refinancing
CN: BoP: Net Errors and Omissions
CN: BoP: FA: Reserve Asset
CN: BoP: FA: Non-reserve
CN: BoP: Current Account(CA)
CN: Trade Balance
CN: Import CIF
CN: Export FOB
CN: Domestic RMB Financial Asset Held by Overseas Entity: Equity
CN: Domestic RMB Financial Asset Held by Overseas Entity: Bond
CN: Domestic RMB Financial Asset Held by Overseas Entity: Loan
CN: Domestic RMB Financial Asset Held by Overseas Entity: Deposit
CN: FDI: Utilized: ytd (annual data included all finance)
CN: Employment: Rural
CN: Employment: Urban
CN: Employment: Primary Industry
CN: Employment: Secondary Industry
CN: Employment: Tertiary Industry
CN: No of Employee: Private & Individual: Manufacturing
CN: No of Employee: Private & Individual: Construction
"CN: No of Employee: Private & Individual: Transportation, Storage & Post"
CN: No of Employee: Private & Individual: Wholesale & Retail Trade
CN: No of Employee: Private & Individual: Accommodation & Catering Trade
CN: No of Employee: Private & Individual: Leasing & Commercial Service
"CN: No of Employee: Private & Individual: Resident, Repair and Other Services"
CN: No of Employee: Urban Non-private: Mining
"CN: No of Employee: Urban Non-private: Farming, Forestry Animal Husbandry & Fishery"
CN: No of Employee: Urban Non-private: Manufacturing
"CN: No of Employee: Urban Non-private: Electricity, Gas & Water Production and Supply"
CN: No of Employee: Urban Non-private: Construction
"CN: No of Employee: Urban Non-private: Transportation, Storage & Post"
"CN: No of Employee: Urban Non-private: Information Transmission, Software and Information Technology Service"
CN: No of Employee: Urban Non-private: Wholesale & Retail Trade
CN: No of Employee: Urban Non-private: Accommodation & Catering Trade
CN: No of Employee: Urban Non-private: Financial Intermediation
CN: No of Employee: Urban Non-private: Real Estate Management
CN: No of Employee: Urban Non-private: Leasing & Commercial Service
CN: No of Employee: Urban Non-private: Scientific Research & Polytechnic Service
"CN: No of Employee: Urban Non-private: Water Conservancy, Environment & Public Utility Management"
CN: No of Employee: Urban Non-private: Education
CN: No of Employee: Urban Non-private: Health Care and Social Work
"CN: No of Employee: Urban Non-private: Culture, Sport & Recreation"
"CN: No of Employee: Urban Non-private: Public Administration, Social Security & Social Organization"
CN: Index: CSI 300 Index
CN: Index: CSI 300 Index: Energy
CN: Index: CSI 300 Index: Material
CN: Index: CSI 300 Index: Industrial
CN: Index: CSI 300 Index: Consumer Discretionary
CN: Index: CSI 300 Index: Consumer Staples
CN: Index: CSI 300 Index: Health Care
CN: Index: CSI 300 Index: Financial
CN: Index: CSI 300 Index: Information Technology
CN: Index: CSI 300 Index: Telecommunication Services
CN: Index: CSI 300 Index: Utilities
CN: Settlement Price: Shanghai Futures Exchange: Copper: 1st Month
CN: Settlement Price: Shanghai Futures Exchange: Steel Rebar: 1st Month
CN: Settlement Price: Dalian Commodity Exchange: Iron Ore: 1st Month
CN: Settlement Price: Dalian Commodity Exchange: Coke: 1st Month
CN: Settlement Price: Shanghai Futures Exchange: Rubber: 1st Month
CN: Settlement Price: Dalian Commodity Exchange: Soybean Meal: 1st Month
CN: Settlement Price: ZCE: Cotton: 1st Month
CN: China Commodity Index (CCI)
CN: Bond Outstanding: PBC: Government Bond
CN: Bond Outstanding: PBC: Financial Bond
CN: Bond Outstanding: PBC: Company Credit Bond
CN: Bond Issuance: PBC: Government Bond
CN: Bond Issuance: PBC: Financial Bond
CN: Bond Issuance: PBC: Company Credit Bond
CN: Money Supply M1
CN: Money Supply M2
CN: Money Supply M1: YoY
CN: Money Supply M2: YoY: Quasi Money
CN: Aggregate Financing: New Increased
CN: Aggregate Financing: New Increased: Loan in Local Currency
CN: Aggregate Financing: New Increased: Entrusted Loan
CN: Aggregate Financing: New Increased: Trust Loan
"CN: Aggregate Financing: New Increased: Banker""s Acceptance Bill"
CN: Aggregate Financing: New Increased: Net Corporate Bond Financing
CN: Aggregate Financing: New Increased: Government Bond
CN: Aggregate Financing: New Increased: Non Financial Enterprise Equity Financing
CN: Aggregate Financing: New Increased: Other Financing: Depository Financial Inst. Asset-backed Securities
CN: Loan: New Increased: Household: Short Term
CN: Loan: New Increased: Household: Medium & Long Term
CN: Loan: New Increased: Non Financial Enterprise and Govt Agency & Org: Short Term
CN: Loan: New Increased: Non Financial Enterprise and Govt Agency & Org: Bill Financing
CN: Loan: New Increased: Non Financial Enterprise and Govt Agency & Org: Medium & Long Term
CN: Loan Prime Rate(LPR): 1 Year
CN: Loan Prime Rate(LPR): 5 Year
CN: Shanghai Interbank Offered Rate (SHIBOR): 3 Month
CN: Interbank Bond Collateral Repo Rate: Weighted Avg: (R007) 7 Day
CN: Treasury Bond Yield: Interbank: Spot Yield: 1 year
CN: Treasury Bond Yield: Interbank: Spot Yield: 5 year
CN: Treasury Bond Yield: Interbank: Spot Yield: 10 year
CN: Industrial Production: Cement
CN: Industrial Production: Steel Product (SP)
CN: Industrial Production: Industrial Robot
CN: Industrial Production: Automobile
CN: Industrial Production: Lithium Ion Battery
CN: Industrial Production: Household Refrigerator
CN: Industrial Production: Household Washing Machine
CN: Industrial Production: Semiconductor Integrated Circuit
CN: Industrial Production: Television Set: Colour
